city_id,x,y
0,17.893481367543618,63.991316571515455
1,46.72684011434851,37.050052710804806
2,35.49173343096512,79.0518245853265
3,90.5143836677174,17.735319182304863
4,65.27848026851319,29.830276735556925
5,96.69622001623905,91.98501605372782
6,63.587080414465134,75.27320970790866
7,51.51536963223518,82.589525837557
8,44.83805454001032,33.881245331376185
9,27.789921550015904,22.633305684340343
10,52.58168433452484,43.09120606844314
11,66.31806204725955,1.2840482366806572
12,44.77019015387208,36.51808011323914
13,19.539759987155403,59.486587100605284
14,43.531315595064456,29.999150374514983
15,20.941612123621955,87.46240571921795
16,79.74623155214327,60.6709676684979
17,34.51005786672921,94.68197909796484
18,56.33773745025456,43.2762739619952
19,90.0449599004222,31.93418039018624
