city_id,x,y
0,61.94737542838282,61.96349321381022
1,42.675345348425644,13.442484155262202
2,45.46590025905593,25.672294998356048
3,70.62510024858018,23.173886973187873
4,69.87495675572916,97.01263668632654
5,68.5428841621014,56.39731214566592
6,74.89835572896999,89.11321966421704
7,49.66193426121278,95.8374939406591
8,53.766687328975536,30.36976279325835
9,85.52441535858908,78.91967076780497
10,6.885769698623346,93.17102095160803
11,94.54061760064795,49.28475548338555
12,70.1827390874082,64.4496137112882
13,47.902011562928614,29.582797177160693
14,56.46654352157196,87.48751124600832
15,60.28478655752247,59.41051025224393
16,75.75194366036108,92.87494858645246
17,53.454531756217925,87.34898182358509
18,29.377543030751486,30.36290650219218
19,84.98982003345861,5.053527099801347
20,1.8191302516940233,64.17774593385654
21,96.77890459003616,97.92089162448003
22,40.27141931593824,34.16246764875287
23,80.81698483622681,35.26291653751068
24,54.035195983655285,77.56780188635068
25,98.93077935188083,77.62072248368587
26,79.46071097418259,61.406249405080295
27,14.540276815283292,62.98165212873936
28,76.88389656371328,19.90787946229967
29,53.41378364746203,81.51656138010043
30,46.0412341433511,97.0858918277261
31,13.185235699970733,71.17474696251871
32,7.753927559860319,11.360218015856983
33,74.17029981216963,63.73537125267483
34,70.11078911327546,31.733655566953757
35,3.846159003398142,63.001340033145105
36,7.55260134990211,79.55077468203562
37,25.235218464735276,64.53403344405561
38,96.5459572391772,11.15544347482097
39,79.06251551999628,28.08445627103795
40,0.2688341888814949,69.08612119560212
41,82.29260720572447,73.50692010191813
42,87.1588254758377,73.57478211246247
43,1.7965199504921703,59.78967303461699
44,16.99062138637991,77.65574653460376
45,0.7353794671590475,67.40351389030992
46,18.84343491248699,73.7904665900397
47,32.27174760609902,59.48636186675182
48,38.80284987875555,90.9786146532695
49,59.735502315355546,35.92940283185973
